n,avgIfdsExposureTime,,make,model,logValues,modelName,makeName
8#1149,3.827953,0.003827953,8,1149,0.582966597,COOLPIXL11,Nikon
24#1197,3.833825,0.003833825,24,1197,0.583632285,FinePixS3000,FUJIFILM
62#3035,3.835228,0.003835228,62,3035,0.583791187,C-LUX1,LEICA
6#638,3.835228,0.003835228,6,638,0.583791187,NIKOND800,Nikon Corporation
4#4113,3.84,0.00384,4,4113,0.584331224,DMC-FX75,Panasonic
9#3785,3.863696,0.003863696,9,3785,0.587002948,SP-610UZ,OLYMPUSIMAGINGCORP.
17#983,3.884,0.003884,17,983,0.589279221,C2100UZ,OLYMPUSOPTICALCO.LTD
38#2589,3.887463,0.003887463,38,2589,0.589666269,DiMAGEF200,MinoltaCo.Ltd.
24#1143,3.891119,0.003891119,24,1143,0.590074513,FinePixJV160,FUJIFILM
24#3429,3.892592,0.003892592,24,3429,0.590238886,FinePixS200EXR,FUJIFILM
184#2205,3.896907,0.003896907,184,2205,0.590720041,DiMAGEE203,MinoltaCo.Ltd.
17#2408,3.898547,0.003898547,17,2408,0.590902774,X300D565ZC450Z,OLYMPUSOPTICALCO.LTD
74#3045,3.900001,0.003900001,74,3045,0.591064718,HD1A,SANYOElectricCo.Ltd.
24#2955,3.907811,0.003907811,24,2955,0.591933551,FinePixF47fd,FUJIFILM
24#2141,3.916105,0.003916105,24,2141,0.592854328,FinePixJX250,FUJIFILM
9#405,3.924076,0.003924076,9,405,0.59373741,SP565UZ,OLYMPUSIMAGINGCORP.
18#1463,3.925697,0.003925697,18,1463,0.593916776,KODAKEASYSHAREC315DIGITAL,EASTMANKODAKCOMPANY
24#2885,3.926334,0.003926334,24,2885,0.593987241,FinePixF410,FUJIFILM
24#3236,3.929557,0.003929557,24,3236,0.594343593,FinePixJ12,FUJIFILM
30#1035,3.931721,0.003931721,30,1035,0.594582692,X350D575ZC360Z,OLYMPUSCORPORATION
24#2142,3.938463,0.003938463,24,2142,0.59532677,FinePixJX370,FUJIFILM
24#1910,3.955753,0.003955753,24,1910,0.597229166,FinePixF10,FUJIFILM
19#3649,3.957262,0.003957262,19,3649,0.597394805,DROIDX2e7c0002ffd80000015f0c,Motorola
14#1952,3.974407,0.003974407,14,1952,0.599272339,EOSREBELT1i,Canon
8#1777,3.977473,0.003977473,8,1777,0.59960724,COOLPIXP90,Nikon
39#1152,3.982595,0.003982595,39,1152,0.600166144,HPPhotoSmartR927(V01.00),Hewlett-Packard
42#305,3.993743,0.003993743,42,305,0.601380114,GR,RICOHIMAGINGCOMPANYLTD.
4#504,3.997343,0.003997343,4,504,0.601771415,DMC-FT1,Panasonic
87#3494,4,0.004,87,3494,0.602059991,PhotoPC3000Z,SEIKOEPSONCORP.
19#1672,4.003878,0.004003878,19,1672,0.602480836,MB855,Motorola
24#3127,4.017801,0.004017801,24,3127,0.603988423,FinePixF601,FUJIFILM
24#565,4.018673,0.004018673,24,565,0.604082669,FujifilmA170A180,FUJIFILM
153#4107,4.020909,0.004020909,153,4107,0.604324244,X400,GeneralImagingCo.
48#3944,4.022743,0.004022743,48,3944,0.604522288,EX-ZS150,CASIOCOMPUTERCO.LTD.
109#2217,4.024135,0.004024135,109,2217,0.604672542,FinecamM410R,KYOCERA
39#2353,4.034262,0.004034262,39,2353,0.605764099,HPPhotosmartR960(V01.00)+,Hewlett-Packard
24#3911,4.035,0.004035,24,3911,0.605843539,FinePixJX530,FUJIFILM
8#1179,4.041378,0.004041378,8,1179,0.606529473,COOLPIXP80,Nikon
19#850,4.043262,0.004043262,19,850,0.606731884,DROIDRAZR,Motorola
8#2519,4.075075,0.004075075,8,2519,0.610135606,COOLPIXL25,Nikon
78#4212,4.087,0.004087,78,4212,0.611404638,ASUSME173X,ASUS
7#1995,4.091308,0.004091308,7,1995,0.611862175,DSC-P43,Sony
19#3800,4.093964,0.004093964,19,3800,0.612144019,MotorolaElectrify,Motorola
39#1079,4.09631,0.00409631,39,1079,0.612392816,HPPhotoSmartR707(V01.00)+,Hewlett-Packard
7#47,4.101673,0.004101673,7,47,0.612961034,DSC-P41,Sony
38#1432,4.10937,0.00410937,38,1432,0.613775246,DiMAGEX20,MinoltaCo.Ltd.
38#355,4.110483,0.004110483,38,355,0.613892856,DiMAGEF100,MinoltaCo.Ltd.
38#775,4.110683,0.004110683,38,775,0.613913987,DiMAGEF300,MinoltaCo.Ltd.
38#792,4.110778,0.004110778,38,792,0.613924024,DiMAGEXt,MinoltaCo.Ltd.
4#1855,4.113321,0.004113321,4,1855,0.614192603,DMC-FX580,Panasonic
4#830,4.113882,0.004113882,4,830,0.614251831,DMC-LC33,Panasonic
8#1543,4.122383,0.004122383,8,1543,0.615148339,COOLPIXS9300,Nikon
24#2729,4.12946,0.00412946,24,2729,0.615893264,FinePixF420,FUJIFILM
19#3981,4.147012,0.004147012,19,3981,0.617735292,MB612,Motorola
4#558,4.15425,0.00415425,4,558,0.618492629,DMC-FX1,Panasonic
24#989,4.161609,0.004161609,24,989,0.619261274,FinePixA210,FUJIFILM
41#1142,4.169979,0.004169979,41,1142,0.620133868,DiMAGEX50,KONICAMINOLTA
6#2522,4.171317,0.004171317,6,2522,0.620273195,NIKOND5200,Nikon Corporation
50#1056,4.176761,0.004176761,50,1056,0.620839625,DiMAGEXg,KonicaMinoltaCameraInc.
24#922,4.182455,0.004182455,24,922,0.621431277,FinePixS9500,FUJIFILM
30#3288,4.185,0.004185,30,3288,0.621695462,C755UZ,OLYMPUSCORPORATION
39#3029,4.191806,0.004191806,39,3029,0.622401175,HPPhotoSmartR927(V01.00)d,Hewlett-Packard
8#2515,4.197421,0.004197421,8,2515,0.622982531,COOLPIXAW120,Nikon
18#2245,4.224193,0.004224193,18,2245,0.625743753,KODAKEASYSHARECX6230ZOOMD,EASTMANKODAKCOMPANY
8#503,4.231973,0.004231973,8,503,0.626542888,E7900,Nikon
24#1611,4.237419,0.004237419,24,1611,0.62710141,FinePixA345,FUJIFILM
16#3806,4.268238,0.004268238,16,3806,0.630248628,p999bn,LGElectronics
24#4211,4.27,0.00427,24,4211,0.630427875,FinePixF660EXR,FUJIFILM
7#1009,4.291937,0.004291937,7,1009,0.632653338,DSC-W830,Sony
24#1908,4.305123,0.004305123,24,1908,0.633985564,FinePixA340,FUJIFILM
26#2927,4.30982,0.00430982,26,2927,0.634459132,NV15VLUUNV15,SamsungTechwin
39#2191,4.3125,0.0043125,39,2191,0.634729108,HPPhotoSmartR727(V01.00),Hewlett-Packard
39#2450,4.326337,0.004326337,39,2450,0.636120346,HPPhotoSmartC850(V07.27),Hewlett-Packard
4#109,4.341646,0.004341646,4,109,0.63765441,DMC-FS16,Panasonic
14#193,4.343573,0.004343573,14,193,0.637847125,CanonPowerShotA430,Canon
24#2452,4.35967,0.00435967,24,2452,0.639453617,X20,FUJIFILM
18#3368,4.366,0.004366,18,3368,0.640083731,KODAKCD33ZOOMDIGITALCAMER,EASTMANKODAKCOMPANY
4#537,4.370139,0.004370139,4,537,0.640495251,DMC-ZS15,Panasonic
48#3448,4.372391,0.004372391,48,3448,0.640718992,EX-Z35,CASIOCOMPUTERCO.LTD.
48#2340,4.390905,0.004390905,48,2340,0.642554041,EX-Z370,CASIOCOMPUTERCO.LTD.
18#2176,4.391074,0.004391074,18,2176,0.642570756,KODAKLS755ZOOMDIGITALCAME,EASTMANKODAKCOMPANY
44#286,4.405002,0.004405002,44,286,0.64394611,DV,
4#1007,4.417923,0.004417923,4,1007,0.645218142,DMC-FS42,Panasonic
4#1013,4.418448,0.004418448,4,1013,0.645269748,DMC-TZ35,Panasonic
4#1030,4.420301,0.004420301,4,1030,0.645451844,DMC-FT3,Panasonic
24#487,4.422447,0.004422447,24,487,0.645662637,FinePixXP50,FUJIFILM
4#1086,4.424034,0.004424034,4,1086,0.645818456,DMC-TZ11,Panasonic
4#1113,4.425769,0.004425769,4,1113,0.645988742,DMC-SZ7,Panasonic
4#1266,4.430004,0.004430004,4,1266,0.646404118,DMC-ZX1,Panasonic
4#1426,4.436568,0.004436568,4,1426,0.647047142,DMC-FX500,Panasonic
4#1437,4.437808,0.004437808,4,1437,0.647168509,DMC-FT2,Panasonic
4#1694,4.444426,0.004444426,4,1694,0.64781568,DMC-FT4,Panasonic
7#491,4.44802,0.00444802,7,491,0.648166731,DSC-W560,Sony
7#540,4.448898,0.004448898,7,540,0.648252449,DSC-W610,Sony
4#1851,4.452653,0.004452653,4,1851,0.648618851,DMC-FX180,Panasonic
7#730,4.454025,0.004454025,7,730,0.64875265,DSC-S40,Sony
4#188,4.454799,0.004454799,4,188,0.648828113,DMC-ZR1,Panasonic
4#1955,4.457182,0.004457182,4,1955,0.649060368,DMC-TS1,Panasonic
4#1962,4.457182,0.004457182,4,1962,0.649060368,DMC-FH24,Panasonic
7#809,4.45791,0.00445791,7,809,0.649131296,DSC-TX1,Sony
4#2096,4.458386,0.004458386,4,2096,0.649177666,DMC-TS2,Panasonic
4#2100,4.459344,0.004459344,4,2100,0.649270976,DMC-FS20,Panasonic
18#656,4.46,0.00446,18,656,0.649334859,KODAKEASYSHAREC180Digital,EASTMANKODAKCOMPANY
4#2123,4.460613,0.004460613,4,2123,0.649394546,DMC-TS3,Panasonic
7#914,4.461475,0.004461475,7,914,0.649478464,DSC-V1,Sony
4#2258,4.462769,0.004462769,4,2258,0.649604408,DMC-FX150,Panasonic
4#253,4.464121,0.004464121,4,253,0.649735958,DMC-TS4,Panasonic
4#267,4.469855,0.004469855,4,267,0.650293435,DMC-LZ1,Panasonic
4#3735,4.477889,0.004477889,4,3735,0.651073324,DMC-FS35,Panasonic
4#400,4.482081,0.004482081,4,400,0.651479701,DMC-ZS7,Panasonic
8#818,4.485189,0.004485189,8,818,0.651780748,COOLPIXP530,Nikon
9#1439,4.491876,0.004491876,9,1439,0.652427759,SZ-30MR,OLYMPUSIMAGINGCORP.
4#5,4.492302,0.004492302,4,5,0.652468945,DMC-FS10,Panasonic
9#1849,4.493131,0.004493131,9,1849,0.652549081,SZ-10,OLYMPUSIMAGINGCORP.
9#2348,4.496891,0.004496891,9,2348,0.652912361,SZ-31MR,OLYMPUSIMAGINGCORP.
9#2392,4.496891,0.004496891,9,2392,0.652912361,SP600UZ,OLYMPUSIMAGINGCORP.
9#2902,4.500246,0.004500246,9,2902,0.653236255,FE-130X-720,OLYMPUSIMAGINGCORP.
9#82,4.501418,0.004501418,9,82,0.653349343,SP-620UZ,OLYMPUSIMAGINGCORP.
4#560,4.501705,0.004501705,4,560,0.653377032,DMC-GH1,Panasonic
24#1160,4.511366,0.004511366,24,1160,0.654308062,FinePixF40fd,FUJIFILM
4#868,4.516102,0.004516102,4,868,0.654763742,DMC-TZ31,Panasonic
4#901,4.517365,0.004517365,4,901,0.654885183,DMC-TZ15,Panasonic
4#936,4.518645,0.004518645,4,936,0.655008223,DMC-F2,Panasonic
4#998,4.522255,0.004522255,4,998,0.655355048,DMC-FS30,Panasonic
4#999,4.523278,0.004523278,4,999,0.65545328,DMC-SZ1,Panasonic
62#842,4.538325,0.004538325,62,842,0.656895593,V-LUX1,LEICA
4#2601,4.547572,0.004547572,4,2601,0.657779584,DMC-FZ4,Panasonic
24#1281,4.551815,0.004551815,24,1281,0.658184603,FinePixF31fd,FUJIFILM
5#2019,4.553706,0.004553706,5,2019,0.658364988,GT-M8800,SAMSUNG
44#2405,4.55392,0.00455392,44,2405,0.658385397,4MDSC,
8#3194,4.558125,0.004558125,8,3194,0.658786231,COOLPIXS52c,Nikon
7#1949,4.57466,0.00457466,7,1949,0.660358822,DSC-W125,Sony
8#4244,4.585053,0.004585053,8,4244,0.66134436,COOLPIXS9400,Nikon
104#1330,4.59879,0.00459879,104,1330,0.662643578,LenovoX2-AP,Lenovo
33#1747,4.616612,0.004616612,33,1747,0.664323376,ST15i,SonyEricsson
139#3281,4.641021,0.004641021,139,3281,0.666613534,i834,Polaroid
24#3061,4.656195,0.004656195,24,3061,0.66803116,FinePixF710,FUJIFILM
39#1479,4.656475,0.004656475,39,1479,0.668057276,HPPhotosmartR960(V01.00),Hewlett-Packard
24#2160,4.663236,0.004663236,24,2160,0.668687395,X-S1,FUJIFILM
24#2677,4.691975,0.004691975,24,2677,0.671355689,FinePixA405,FUJIFILM
99#1072,4.69279,0.00469279,99,1072,0.67143112,TDC5010,YASHICA
6#2575,4.710197,0.004710197,6,2575,0.673039072,NIKON1J2,Nikon Corporation
8#793,4.727363,0.004727363,8,793,0.674618952,COOLPIXP7000,Nikon
9#1882,4.770803,0.004770803,9,1882,0.678591484,u820S820,OLYMPUSIMAGINGCORP.
8#2379,4.789375,0.004789375,8,2379,0.680278843,COOLPIXS51,Nikon
26#1157,4.80653,0.00480653,26,1157,0.681831657,NV5/VLUUNV5,SamsungTechwin
26#2681,4.807424,0.004807424,26,2681,0.681912427,VLUUNV7NV7,SamsungTechwin
24#474,4.823181,0.004823181,24,474,0.68333356,FinePixF100fd,FUJIFILM
24#2636,4.825085,0.004825085,24,2636,0.683504968,FinePixA310,FUJIFILM
8#2779,4.835448,0.004835448,8,2779,0.684436717,E600,Nikon
19#2148,4.850846,0.004850846,19,2148,0.685817487,MB52573ac0022ffdc00000163af9,Motorola
24#4277,4.856079,0.004856079,24,4277,0.686285743,FinePixF80EXR,FUJIFILM
24#1119,4.857981,0.004857981,24,1119,0.686455812,FinePixF30,FUJIFILM
24#1131,4.872633,0.004872633,24,1131,0.687763702,FinePixF700,FUJIFILM
19#3680,4.887,0.004887,19,3680,0.689042339,DROID267380001ffd80000015daa,Motorola
288#3540,4.904365,0.004904365,288,3540,0.690582784,309ATSu,309AT30
24#1280,4.911211,0.004911211,24,1280,0.691188593,FinePixA303,FUJIFILM
91#3567,4.926108,0.004926108,91,3567,0.692503929,D904i,DoCoMo
24#1005,4.945618,0.004945618,24,1005,0.694220568,FinePixA350,FUJIFILM
8#2070,4.946072,0.004946072,8,2070,0.694260434,COOLPIXS570,Nikon
8#2436,4.948873,0.004948873,8,2436,0.694506309,COOLPIXS3200,Nikon
17#1307,4.972112,0.004972112,17,1307,0.696540903,C5050Z,OLYMPUSOPTICALCO.LTD
24#835,5.000038,0.005000038,24,835,0.698973305,FinePixF70EXR,FUJIFILM
33#3787,5.00627,0.00500627,33,3787,0.699514268,SK17i,SonyEricsson
24#1626,5.009135,0.005009135,24,1626,0.699762736,FinePixS6500fd,FUJIFILM
4#107,5.025255,0.005025255,4,107,0.701158104,DMC-GF5,Panasonic
24#1282,5.031732,0.005031732,24,1282,0.701717502,FinePixF50fd,FUJIFILM
10#834,5.040586,0.005040586,10,834,0.702481029,6730c,Nokia
24#2174,5.045841,0.005045841,24,2174,0.702933561,FinePixS8100fd,FUJIFILM
24#2909,5.073567,0.005073567,24,2909,0.7053134,FinePixA120,FUJIFILM
4#3729,5.081371,0.005081371,4,3729,0.705980905,DMC-FZ48,Panasonic
8#198,5.087248,0.005087248,8,198,0.70648291,E5200,Nikon
33#3812,5.089059,0.005089059,33,3812,0.706637486,MT11a,SonyEricsson
10#199,5.092532,0.005092532,10,199,0.706933767,N72,Nokia
4#1260,5.095192,0.005095192,4,1260,0.707160554,DMC-FX8,Panasonic
24#624,5.103513,0.005103513,24,624,0.707869225,FinePixJ15fd,FUJIFILM
4#1769,5.107459,0.005107459,4,1769,0.708204889,DMC-FZ1,Panasonic
19#1171,5.110803,0.005110803,19,1171,0.708489141,DROIDX,Motorola
24#186,5.114598,0.005114598,24,186,0.708811504,FinePixS5500,FUJIFILM
4#3352,5.120328,0.005120328,4,3352,0.709297782,DMC-FX550,Panasonic
6#2241,5.130365,0.005130365,6,2241,0.710148264,NIKOND1X,Nikon Corporation
9#1820,5.142131,0.005142131,9,1820,0.711143136,u5010S5010,OLYMPUSIMAGINGCORP.
9#2749,5.149148,0.005149148,9,2749,0.711735375,C55ZC5500Z,OLYMPUSIMAGINGCORP.
6#4045,5.151,0.005151,6,4045,0.71189155,COOLPIXA,Nikon Corporation
24#1564,5.153997,0.005153997,24,1564,0.712144161,FinePixS2950,FUJIFILM
62#3200,5.166926,0.005166926,62,3200,0.713232242,C-LUX3,LEICA
7#1165,5.172287,0.005172287,7,1165,0.713682615,DSC-W380,Sony
7#2758,5.182394,0.005182394,7,2758,0.714530428,DSC-P12,Sony
7#282,5.186032,0.005186032,7,282,0.714835192,DSC-P150,Sony
7#3469,5.188089,0.005188089,7,3469,0.715007418,DSC-W330,Sony
39#2054,5.191627,0.005191627,39,2054,0.715303482,HPPhotoSmartR607(V01.00)+,Hewlett-Packard
4#1883,5.194356,0.005194356,4,1883,0.715531711,DMC-FT25,Panasonic
7#640,5.195041,0.005195041,7,640,0.715588979,DSC-S90,Sony
24#2713,5.195611,0.005195611,24,2713,0.715636628,FinePixS5200,FUJIFILM
19#2401,5.200484,0.005200484,19,2401,0.716043765,DROIDBIONIC,Motorola
4#2108,5.206993,0.005206993,4,2108,0.716586994,DMC-FX38,Panasonic
24#325,5.207184,0.005207184,24,325,0.716602924,FinePixF601ZOOM,FUJIFILM
8#2378,5.214678,0.005214678,8,2378,0.717227496,COOLPIXS640,Nikon
24#1483,5.216832,0.005216832,24,1483,0.717406851,FinePixF460,FUJIFILM
19#3943,5.217167,0.005217167,19,3943,0.717434739,DROIDX55680001ffd800000a3a56,Motorola
24#278,5.217351,0.005217351,24,278,0.717450055,FinePixS602ZOOM,FUJIFILM
9#2662,5.227,0.005227,9,2662,0.7182525,u810/S810,OLYMPUSIMAGINGCORP.
9#4039,5.227392,0.005227392,9,4039,0.718285069,XZ-2,OLYMPUSIMAGINGCORP.
9#250,5.23811,0.00523811,9,250,0.719174614,FE190/X750,OLYMPUSIMAGINGCORP.
10#22,5.244056,0.005244056,10,22,0.719667321,E7-00,Nokia
19#4292,5.2455,0.0052455,19,4292,0.719786891,MB526,Motorola
10#55,5.266684,0.005266684,10,55,0.721537262,Lumia1520,Nokia
24#2956,5.268114,0.005268114,24,2956,0.721655164,FinePixS9100,FUJIFILM
24#396,5.289275,0.005289275,24,396,0.723396147,FinePixS100FS,FUJIFILM
26#391,5.302217,0.005302217,26,391,0.724457498,VLUUNV10NV10,SamsungTechwin
26#695,5.304123,0.005304123,26,695,0.724613587,NV8VLUUNV8,SamsungTechwin
9#2181,5.320784,0.005320784,9,2181,0.725975629,C180D435,OLYMPUSIMAGINGCORP.
7#2924,5.3225,0.0053225,7,2924,0.72611567,MVC-CD350,Sony
8#814,5.410675,0.005410675,8,814,0.733251448,COOLPIXS30,Nikon
109#2957,5.413149,0.005413149,109,2957,0.733449981,CONTAXTvsDigital,KYOCERA
11#1505,5.420131,0.005420131,11,1505,0.734009783,PENTAXOptioWPi,PENTAXCorporation
8#2504,5.44025,0.00544025,8,2504,0.735618858,COOLPIXS2500,Nikon
19#2291,5.440672,0.005440672,19,2291,0.735652545,XT1034,Motorola
8#117,5.440707,0.005440707,8,117,0.735655338,COOLPIXAW110,Nikon
8#1176,5.441267,0.005441267,8,1176,0.735700037,COOLPIXS9500,Nikon
8#1864,5.44799,0.00544799,8,1864,0.736236302,COOLPIXS3100,Nikon
8#1934,5.450109,0.005450109,8,1934,0.736405188,COOLPIXS2600,Nikon
8#222,5.452662,0.005452662,8,222,0.736608577,COOLPIXP500,Nikon
8#2541,5.456218,0.005456218,8,2541,0.736891714,COOLPIXL320,Nikon
8#293,5.457812,0.005457812,8,293,0.737018572,COOLPIXS3000,Nikon
8#3856,5.458417,0.005458417,8,3856,0.737066711,COOLPIXS6300,Nikon
8#294,5.459322,0.005459322,8,294,0.73713871,COOLPIXS4000,Nikon
8#3736,5.46081,0.00546081,8,3736,0.737257066,COOLPIXS6200,Nikon
8#3894,5.462222,0.005462222,8,3894,0.737369347,COOLPIXL810,Nikon
8#1017,5.469666,0.005469666,8,1017,0.737960807,E2200,Nikon
26#1147,5.478777,0.005478777,26,1147,0.738683624,Pro815,SamsungTechwin
19#3632,5.489,0.005489,19,3632,0.739493231,DROIDX60420001ffd800000a3a95,Motorola
24#4181,5.497,0.005497,24,4181,0.740125737,FinePixXP55/Walmart,FUJIFILM
24#2060,5.572576,0.005572576,24,2060,0.746056,FinePixS1800,FUJIFILM
24#4252,5.587504,0.005587504,24,4252,0.747217847,FinePixAV220,FUJIFILM
4#1467,5.595862,0.005595862,4,1467,0.747866996,DMC-FS5,Panasonic
4#1726,5.602011,0.005602011,4,1726,0.748343957,DMC-FZ35,Panasonic
41#2162,5.604814,0.005604814,41,2162,0.748561205,DiMAGEZ10,KONICAMINOLTA
48#651,5.611823,0.005611823,48,651,0.749103965,EX-Z33,CASIOCOMPUTERCO.LTD.
95#2626,5.612424,0.005612424,95,2626,0.749150473,DCC530,BenQ
4#2302,5.629612,0.005629612,4,2302,0.750478464,DMC-LX1,Panasonic
8#98,5.633562,0.005633562,8,98,0.750783078,COOLPIXS6150,Nikon
24#991,5.638043,0.005638043,24,991,0.751128384,FinePixS5600,FUJIFILM
8#1097,5.639891,0.005639891,8,1097,0.751270711,COOLPIXL5,Nikon
7#1014,5.641364,0.005641364,7,1014,0.751384123,DSC-W90,Sony
4#2906,5.642298,0.005642298,4,2906,0.75145602,DMC-LZ6,Panasonic
7#1187,5.645559,0.005645559,7,1187,0.75170695,DSC-W150,Sony
7#1215,5.645631,0.005645631,7,1215,0.751712489,DSC-W350,Sony
7#1514,5.650548,0.005650548,7,1514,0.752090568,DSC-W570,Sony
7#161,5.652745,0.005652745,7,161,0.752259395,DSC-HX5V,Sony
7#1653,5.653593,0.005653593,7,1653,0.752324541,DSC-W580,Sony
7#1766,5.654727,0.005654727,7,1766,0.752411643,DSC-P93A,Sony
7#1802,5.655358,0.005655358,7,1802,0.752460102,DSC-U40,Sony
7#2286,5.65941,0.00565941,7,2286,0.752771158,DSC-W230,Sony
7#2293,5.659477,0.005659477,7,2293,0.752776299,DSC-W85,Sony
7#238,5.660045,0.005660045,7,238,0.752819884,DSC-W170,Sony
7#2420,5.660701,0.005660701,7,2420,0.752870216,DSC-W530,Sony
7#257,5.661541,0.005661541,7,257,0.752934657,DSC-W290,Sony
7#263,5.662068,0.005662068,7,263,0.752975081,DSC-W110,Sony
7#275,5.663272,0.005663272,7,275,0.753067421,DSC-W270,Sony
7#331,5.665846,0.005665846,7,331,0.753264766,DSC-W120,Sony
7#406,5.66855,0.00566855,7,406,0.753471982,DSC-W130,Sony
7#569,5.672195,0.005672195,7,569,0.753751153,DSC-W220,Sony
7#570,5.672373,0.005672373,7,570,0.753764781,DSC-W80,Sony
7#616,5.67392,0.00567392,7,616,0.753883208,DSC-W320,Sony
7#675,5.674797,0.005674797,7,675,0.75395033,DSC-TX5,Sony
7#734,5.676506,0.005676506,7,734,0.754081101,DSC-W210,Sony
7#735,5.677029,0.005677029,7,735,0.754121113,DSC-WX1,Sony
7#937,5.682858,0.005682858,7,937,0.754566804,DSC-H55,Sony
7#826,5.682882,0.005682882,7,826,0.754568638,DSC-WX5,Sony
8#1078,5.684045,0.005684045,8,1078,0.754657508,COOLPIXS6500,Nikon
10#1947,5.68699,0.00568699,10,1947,0.754882465,N71,Nokia
4#535,5.687521,0.005687521,4,535,0.754923013,DMC-FH20,Panasonic
4#557,5.690876,0.005690876,4,557,0.755179123,DMC-FS15,Panasonic
8#757,5.702117,0.005702117,8,757,0.756036124,COOLPIXS51c,Nikon
8#79,5.702667,0.005702667,8,79,0.756078012,COOLPIXP520,Nikon
9#100,5.706941,0.005706941,9,100,0.756403383,SP560UZ,OLYMPUSIMAGINGCORP.
9#1116,5.70721,0.00570721,9,1116,0.756423853,FE-140X-725,OLYMPUSIMAGINGCORP.
9#1676,5.709455,0.005709455,9,1676,0.756594654,SP570UZ,OLYMPUSIMAGINGCORP.
4#726,5.709486,0.005709486,4,726,0.756597012,DMC-FZ38,Panasonic
4#907,5.717015,0.005717015,4,907,0.757169332,DMC-TZ4,Panasonic
9#668,5.717634,0.005717634,9,668,0.757216352,C70ZC7000Z,OLYMPUSIMAGINGCORP.
24#918,5.744245,0.005744245,24,918,0.759232955,FinePixE550,FUJIFILM
62#1297,5.748932,0.005748932,62,1297,0.759587172,D-LUX6,LEICA
19#1803,5.773823,0.005773823,19,1803,0.761463466,A853,Motorola
5#311,5.776439,0.005776439,5,311,0.761660191,GT-S8500,SAMSUNG
5#866,5.813301,0.005813301,5,866,0.76442281,GT-I9100G,SAMSUNG
24#823,5.843558,0.005843558,24,823,0.766677359,FinePixS1000fd,FUJIFILM
18#2185,5.867626,0.005867626,18,2185,0.768462424,KODAKEASYSHARESportCamera,EASTMANKODAKCOMPANY
24#2204,5.927002,0.005927002,24,2204,0.772835074,FinePixSL300,FUJIFILM
10#236,5.960449,0.005960449,10,236,0.775278976,N70-1,Nokia
11#1251,5.986928,0.005986928,11,1251,0.777204035,PENTAXOptio43WR,PENTAXCorporation
11#2036,5.991553,0.005991553,11,2036,0.777539405,PENTAXOptioX,PENTAXCorporation
24#4160,6,0.006,24,4160,0.77815125,FinePixHS50EXR,FUJIFILM
5#112,6.009459,0.006009459,5,112,0.778835377,GalaxyNexus,SAMSUNG
10#521,6.024463,0.006024463,10,521,0.779918341,Lumia520,Nokia
19#1347,6.038,0.006038,19,1347,0.780893109,XT1225,Motorola
24#947,6.045073,0.006045073,24,947,0.78140155,FinePixS8000fd,FUJIFILM
15#566,6.046811,0.006046811,15,566,0.781526394,QCAM-AA,HTC
7#1827,6.04875,0.00604875,7,1827,0.781665635,DSC-W215,Sony
145#1659,6.054806,0.006054806,145,1659,0.782100233,BlackBerryQ10,BlackBerry
4#2531,6.076422,0.006076422,4,2531,0.783647927,DMC-FS45,Panasonic
16#2028,6.076752,0.006076752,16,2028,0.783671513,LG-P940,LGElectronics
4#988,6.081495,0.006081495,4,988,0.784010354,DMC-FZ62,Panasonic
20#1104,6.083419,0.006083419,20,1104,0.78414773,BlackBerryPlayBook,ResearchInMotion
4#2247,6.105096,0.006105096,4,2247,0.785692497,DMC-FX65,Panasonic
57#2952,6.148,0.006148,57,2952,0.788733859,CS5531,acer
24#2949,6.263495,0.006263495,24,2949,0.796816735,FinePixA607,FUJIFILM
17#2649,6.270166,0.006270166,17,2649,0.797279039,C100D370,OLYMPUSOPTICALCO.LTD
24#610,6.317211,0.006317211,24,610,0.800525383,FinePixS1500,FUJIFILM
24#2466,6.325131,0.006325131,24,2466,0.801069525,FinePixS4200,FUJIFILM
114#1250,6.336157,0.006336157,114,1250,0.80182593,YHDC51700v1.jp,GoPro...8A<.@Wh.
19#2071,6.342288,0.006342288,19,2071,0.802245959,DROIDPRO22f20001ffd800000a3,Motorola
139#1823,6.397322,0.006397322,139,1823,0.805998211,Polaroid,Polaroid
6#140,6.417833,0.006417833,6,140,0.807388412,NIKOND60,Nikon Corporation
33#1378,6.446353,0.006446353,33,1378,0.809314084,LT28h,SonyEricsson
39#3689,6.4525,0.0064525,39,3689,0.809728013,HPPhotosmartM23(V01.00),Hewlett-Packard
4#1424,6.483752,0.006483752,4,1424,0.811826395,DMC-FX35,Panasonic
19#3917,6.519526,0.006519526,19,3917,0.814216022,MB886,Motorola
48#2068,6.528371,0.006528371,48,2068,0.814804827,EX-Z150,CASIOCOMPUTERCO.LTD.
19#1902,6.565729,0.006565729,19,1902,0.817282953,XT1052,Motorola
7#1658,6.571617,0.006571617,7,1658,0.817672244,DSC-W40,Sony
6#162,6.583675,0.006583675,6,162,0.818468384,NIKOND40,Nikon Corporation
4#538,6.589449,0.006589449,4,538,0.818849101,DMC-ZS5,Panasonic
4#4000,6.592988,0.006592988,4,4000,0.819082285,DMC-ZS19,Panasonic
19#1795,6.616503,0.006616503,19,1795,0.820628514,XT1033,Motorola
19#3563,6.634,0.006634,19,3563,0.821775467,DROIDX5d920001fff80000015a9c,Motorola
62#2259,6.648645,0.006648645,62,2259,0.822733145,V-LUX20,LEICA
