n,avgQuality,make,model,logValues,modelName,makeName
5#1879,43.59,5,1879,1.639386869,SGH-L700,SAMSUNG
51#3084,45.02,51,3084,1.653405491,7MP-9GW,DigitalCamera
19#2467,49.25,19,2467,1.692406235,MOTORAZRV9,Motorola
18#1175,50,18,1175,1.698970004,KODAKEASYSHAREC433ZOOMDIG,EASTMANKODAKCOMPANY
15#4239,50,15,4239,1.698970004,HTCOneSV,HTC
10#3655,50,10,3655,1.698970004,E7-00poweredbyCameraPro,Nokia
4#4163,50,4,4163,1.698970004,X700,Panasonic
20#966,51.66166667,20,966,1.713168413,BlackBerry8520,ResearchInMotion
19#3363,52.18,19,3363,1.717504075,C261,Motorola
10#2481,54.1975,10,2481,1.733979254,8800SI,Nokia
33#3039,55.23,33,3039,1.742175043,W200a,SonyEricsson
23#4253,55.53,23,4253,1.744527673,V401D,Vodafone
59#3018,55.61,59,3018,1.745152895,950PowerC@mZoom,TRUST
246#3031,55.73,246,3031,1.746089043,MG295d,LGMobile
19#1405,57.87,19,1405,1.762453482,RAZRV3x,Motorola
24#3009,58.35,24,3009,1.76604086,MX-600ZOOM,FUJIFILM
33#3285,58.38,33,3285,1.766264091,W380i,SonyEricsson
33#3421,58.38,33,3421,1.766264091,W350i,SonyEricsson
33#3521,58.38,33,3521,1.766264091,W350c,SonyEricsson
20#2994,58.7325,20,2994,1.768878487,BlackBerry8130,ResearchInMotion
24#3047,59.4715,24,3047,1.774308892,MX-1200,FUJIFILM
267#3881,59.71833333,267,3881,1.776107679,GU-230,LGElectronicsInc.
95#3330,59.725,95,3330,1.776156158,DCE610,BenQ
33#2506,60.005,33,2506,1.77818744,J108i,SonyEricsson
33#2861,61.30166667,33,2861,1.787472282,Z530i,SonyEricsson
33#2978,61.59,33,2978,1.789510204,K320i,SonyEricsson
8#778,61.76516129,8,778,1.79074358,E5000,Nikon
20#1002,61.96333333,20,1002,1.792134773,BlackBerry8900,ResearchInMotion
86#3804,62.39,86,3804,1.795114986,940SH,SHARP
20#3568,62.4025,20,3568,1.795201989,BlackBerry9100,ResearchInMotion
24#2343,63.75708609,24,2343,1.80452846,FinePix4700ZOOM,FUJIFILM
86#2229,63.76,86,2229,1.804548308,V903SH,SHARP
33#2960,64.00222222,33,2960,1.806195053,W200i,SonyEricsson
18#249,64.08,18,249,1.806722503,KODAKDC3400ZOOMDIGITALCAM,EASTMANKODAKCOMPANY
18#1909,64.08,18,1909,1.806722503,KODAKDIGITALSCIENCEDC260(,EASTMANKODAKCOMPANY
33#2900,64.19666667,33,2900,1.807512478,W300i,SonyEricsson
33#3114,64.49166667,33,3114,1.809503601,Vodafone-802SE,SonyEricsson
267#3793,64.9525,267,3793,1.812595872,LG-C100,LGElectronicsInc.
267#3828,64.9525,267,3828,1.812595872,LG-C300,LGElectronicsInc.
267#3853,64.9525,267,3853,1.812595872,GB-280,LGElectronicsInc.
7#3233,65.56,7,3233,1.816638945,DCR-TRV18E,Sony
10#721,65.777,10,721,1.818074062,N96,Nokia
18#934,65.82,18,934,1.818357878,KODAKDC4800ZOOMDIGITALCAM,EASTMANKODAKCOMPANY
10#1789,66.36833333,10,1789,1.821960912,5130c-2,Nokia
5#1309,66.36833333,5,1309,1.821960912,SGH-G600,SAMSUNG
10#2480,67.03166667,10,2480,1.826280018,6234,Nokia
10#21,67.1475,10,21,1.827029848,E66,Nokia
74#2843,67.185,74,2843,1.827272322,SR6,SANYOElectricCo.Ltd.
20#3095,67.465,20,3095,1.829078525,BlackBerry8100,ResearchInMotion
95#3186,67.519,95,3186,1.829426001,C740i,BenQ
139#3351,67.58,139,3351,1.829818187,Speedstari835,Polaroid
86#2804,68.13625,86,2804,1.833378228,910SH,SHARP
10#741,68.605,10,741,1.836355769,6500c,Nokia
20#4278,68.685,20,4278,1.836861903,BlackBerry9105,ResearchInMotion
86#2578,68.685,86,2578,1.836861903,935SH,SHARP
33#3319,68.685,33,3319,1.836861903,Z750a,SonyEricsson
18#2294,68.76993151,18,2294,1.837398592,KODAKEASYSHAREC713ZOOMDIG,EASTMANKODAKCOMPANY
33#1856,69.0125,33,1856,1.83892776,SONYERICSSONW960i,SonyEricsson
87#3523,69.025,87,3523,1.839006415,PhotoPC2100Z,SEIKOEPSONCORP.
86#2595,69.08909091,86,2595,1.839409478,TM150,SHARP
33#2610,69.739,33,2610,1.843475716,K310i,SonyEricsson
267#3691,69.83166667,267,3691,1.844052407,LG-C310,LGElectronicsInc.
93#975,69.89166667,93,975,1.844425397,BlackBerry8100Series,RIM
267#3863,69.9625,267,3863,1.84486532,GD-330,LGElectronicsInc.
51#1608,70.05,51,1608,1.84540814,ND-4020DigitalCamera,DigitalCamera
240#2930,70.095,240,2930,1.84568704,6LZ,Mustek
240#4127,70.095,240,4127,1.84568704,5LF-SF,Mustek
10#1349,70.095,10,1349,1.84568704,200,Nokia
10#2562,70.095,10,2562,1.84568704,X2-02,Nokia
283#2130,70.095,283,2130,1.84568704,1.3Megapixel,Q6055BSKAXLZ33701
33#3419,70.095,33,3419,1.84568704,W302,SonyEricsson
152#340,70.235,152,340,1.846553587,,Fujitsu
9#1676,70.262,9,1676,1.846720508,SP570UZ,OLYMPUSIMAGINGCORP.
51#2175,70.275,51,2175,1.846800854,Vivicam,DigitalCamera
16#3339,70.28666667,16,3339,1.846872947,KU990i,LGElectronics
10#1237,70.33,10,1237,1.847140617,6121c,Nokia
33#3082,70.64333333,33,3082,1.849071183,W380a,SonyEricsson
86#3049,70.85458333,86,3049,1.850367948,705SH,SHARP
95#2404,70.90666667,95,2404,1.85068707,DCC500,BenQ
18#374,71.03166667,18,374,1.851452005,KODAKDC280ZOOMDIGITALCAME,EASTMANKODAKCOMPANY
14#2882,71.085,14,2882,1.851777968,CanonZR400,Canon
14#3255,71.085,14,3255,1.851777968,CanonDC40,Canon
14#3275,71.085,14,3275,1.851777968,CanonELURA80,Canon
14#4187,71.085,14,4187,1.851777968,CanonPowerShotELPH310HS,Canon
33#2969,71.42090909,33,2969,1.853825374,Z1010,SonyEricsson
20#3427,71.58,20,3427,1.854791694,BlackBerry9550,ResearchInMotion
193#3148,71.58,193,3148,1.854791694,Sidekick3,T-Mobile
305#2666,71.69,305,2666,1.85545858,DigitalCamera,DSCManufacturer
96#2928,71.69,96,2928,1.85545858,KD-220Z,KonicaCorporation
7#3113,71.69,7,3113,1.85545858,DCR-TRV33E,Sony
24#3391,71.9475,24,3391,1.857015708,FinePixJ110W,FUJIFILM
109#3510,72.05,109,3510,1.857633985,SAMURAI2100DG,KYOCERA
33#1991,72.0866,33,1991,1.857854542,V800,SonyEricsson
51#1191,72.10416667,51,1191,1.857960362,DS5MP,DigitalCamera
92#2764,72.42,92,2764,1.85985852,A5404S,KDDI-SN
10#342,72.4675,10,342,1.860143279,C6-01,Nokia
10#1711,72.483125,10,1711,1.860236909,6280,Nokia
20#1436,72.6725,20,1436,1.861370101,BlackBerry8330,ResearchInMotion
86#1537,72.8675,86,1537,1.86253387,SH9010,SHARP
10#1209,73.145,10,1209,1.864184644,6110,Nokia
15#3165,73.3,15,3165,1.865103975,HTC_P3451,HTC
256#3198,73.4375,256,3198,1.865917884,AIPTEK,AIPTEK
33#1632,73.51204546,33,1632,1.866358507,K608i,SonyEricsson
8#802,73.63285714,8,802,1.867071653,E800,Nikon
30#722,73.69095238,30,722,1.867414169,C160D395,OLYMPUSCORPORATION
49#2078,73.705,49,2078,1.867496951,SAMSUNGSGH-D600,Corelogic
75#1596,73.72833333,75,1596,1.867634417,ViviCam3746,Vivitar
86#3496,73.97,86,3496,1.869055619,VL-Z950,SHARP
8#801,74.19844595,8,801,1.870394809,E2000,Nikon
10#1808,74.36,10,1808,1.871339381,7210Supernova,Nokia
10#1893,74.36,10,1893,1.871339381,2730classic,Nokia
10#411,74.43,10,411,1.871748019,6120c,Nokia
10#1212,74.44,10,1212,1.871806364,E71x,Nokia
91#2897,74.5525,91,2897,1.872462211,SO505iS,DoCoMo
10#2328,74.5525,10,2328,1.872462211,6210Navig,Nokia
214#3120,74.5525,214,3120,1.872462211,Sidekick2008,T-Mobile(R)
251#3121,74.745,251,3121,1.873582146,CD500CUGF,ADPK
91#2926,74.745,91,2926,1.873582146,SO506iC,DoCoMo
211#2552,74.745,211,2552,1.873582146,C500,Dopod
15#2377,74.745,15,2377,1.873582146,Xda_Stellar,HTC
230#3574,74.745,230,3574,1.873582146,W21SA,KDDI-SA
269#3311,74.745,269,3311,1.873582146,LG-VX8560,LGElectronicsInc
118#1340,74.745,118,1340,1.873582146,W121,MICROMAX
19#3563,74.745,19,3563,1.873582146,DROIDX5d920001fff80000015a9c,Motorola
19#3570,74.745,19,3570,1.873582146,DROIDX0ccc0002ffd80000015f12,Motorola
19#3592,74.745,19,3592,1.873582146,DROIDX6a0e0001ffd80000015dc2,Motorola
10#1353,74.745,10,1353,1.873582146,5233,Nokia
10#2561,74.745,10,2561,1.873582146,5310XpressMusic,Nokia
177#3378,74.745,177,3378,1.873582146,1.3MPDigitalCamera,OEM
70#2252,74.745,70,2252,1.873582146,P7040,PANTECH
5#256,74.745,5,256,1.873582146,SM-N900V,SAMSUNG
7#2983,74.745,7,2983,1.873582146,DCR-PC5E,Sony
7#3721,74.745,7,3721,1.873582146,DCR-TRV330E,Sony
33#2908,74.745,33,2908,1.873582146,K510c,SonyEricsson
17#2615,74.77045455,17,2615,1.873730021,C830LD340R,OLYMPUSOPTICALCO.LTD
227#2745,74.855,227,2745,1.874220815,Eye-Q5062AF,ConcordCameraCorp.
227#2851,74.855,227,2851,1.874220815,Eye-Q4360Z,ConcordCameraCorp.
227#3358,74.855,227,3358,1.874220815,Eye-Q4060AF,ConcordCameraCorp.
18#70,74.90612903,18,70,1.874517354,KODAKEASYSHAREC743ZOOMDIG,EASTMANKODAKCOMPANY
136#2264,74.955,136,2264,1.874800608,GR-DX300,JVC
95#1020,74.96,95,1020,1.874829578,DC1500,BenQ
117#1312,75,117,1312,1.875061263,Streak,DELL
267#3871,75,267,3871,1.875061263,GB-220,LGElectronicsInc.
51#2775,75.00625,51,2775,1.875097453,ND-5020DigitalCamera,DigitalCamera
39#1951,75.12205263,39,1951,1.875767446,hpphotosmart720,Hewlett-Packard
86#2915,75.16166667,86,2915,1.875996402,V802SH,SHARP
51#3166,75.1975,51,3166,1.876203402,DC-5000DigitalCamera,DigitalCamera
110#2812,75.1975,110,2812,1.876203402,DC-M42,Gateway
75#2847,75.1975,75,2847,1.876203402,Vivicam3915,Vivitar
178#2121,75.1975,178,2121,1.876203402,V3935DigitalCamera,VivitarCorporation
178#2912,75.1975,178,2912,1.876203402,Vivicam3780s,VivitarCorporation
8#426,75.20729508,8,426,1.876259969,E5700,Nikon
5#653,75.219,5,653,1.876327555,NX300,SAMSUNG
8#61,75.22946154,8,61,1.876387953,COOLPIXS10,Nikon
10#2571,75.255,10,2571,1.87653536,5320,Nokia
10#568,75.41,10,568,1.877428941,6300,Nokia
97#1806,75.47,97,1806,1.87777435,Camera,CAMERA
16#3054,75.51,16,3054,1.87800447,KE990,LGElectronics
24#2633,75.529,24,2633,1.878113735,MX-1700ZOOM,FUJIFILM
9#2902,75.69325,9,2902,1.879057153,FE-130X-720,OLYMPUSIMAGINGCORP.
10#1605,75.7675,10,1605,1.879482958,5700,Nokia
297#3742,75.815,297,3742,1.879755139,Mercury524V26.05Ex,SVPMe
5#2500,75.8225,5,2500,1.8797981,SGH-E260,SAMSUNG
10#2382,75.96,10,2382,1.880584956,E63,Nokia
20#83,75.96,20,83,1.880584956,BlackBerry9790,ResearchInMotion
13#652,75.96642857,13,652,1.880621709,Hero3-SilverEdition,GoPro
156#2242,76.29863636,156,2242,1.882516776,PDR-M4,TOSHIBA
97#2774,76.4575,97,2774,1.883420093,DC2070,CAMERA
138#1527,76.4575,138,1527,1.883420093,DC300/DC310,SeaLife
267#3744,76.53,267,3744,1.883831713,LG-C305,LGElectronicsInc.
282#3776,76.5825,282,3776,1.88412954,Nintendo3DS,Nintendo
98#1049,76.65611111,98,1049,1.884546783,SAMSUNGGX10,SAMSUNGTECHWINCo.
14#248,76.76375,14,248,1.885156182,CanonPowerShotSD940IS,Canon
8#2014,76.85782258,8,2014,1.885688077,COOLPIXP5000,Nikon
7#563,76.94155172,7,563,1.886160941,CYBERSHOTU,Sony
10#436,76.95166667,10,436,1.886218031,E61i,Nokia
260#3230,77.045,260,3230,1.88674446,VQ1015,VistaQuest
17#2658,77.15444444,17,2658,1.887360948,C960ZD460Z,OLYMPUSOPTICALCO.LTD
59#821,77.175,59,821,1.887476638,1,TRUST
5#593,77.21625,5,593,1.887708706,Digimax200,SAMSUNG
219#2690,77.26666667,219,2690,1.887992177,VC5200Z,5.2MPDigitalCAM
18#287,77.28393443,18,287,1.888089223,KODAKEASYSHAREC813ZOOMDIG,EASTMANKODAKCOMPANY
138#2385,77.325,138,2385,1.888319929,SL330,SeaLife
7#86,77.36,7,86,1.888516461,SLT-A77V,Sony
86#2770,77.37357143,86,2770,1.888592644,904SH,SHARP
8#606,77.435,8,606,1.888937303,E7600,Nikon
14#1581,77.43666667,14,1581,1.88894665,CanonIXYDIGITAL510IS,Canon
26#2945,77.55333333,26,2945,1.889600469,DIGIMAX130,SamsungTechwin
14#214,77.56071429,14,214,1.8896418,CanonPowerShotA620,Canon
10#893,77.6525,10,893,1.890155442,E65,Nokia
14#51,77.65714286,14,51,1.890181408,CanonEOS1000D,Canon
5#3771,77.68,5,3771,1.890309217,SAMSUNGPL170PL171/VLUUPL1,SAMSUNG
100#1076,77.8425,100,1076,1.891216775,2MP-DSC,DVR410Camm
5#403,77.91666667,5,403,1.891630365,SAMSUNG,SAMSUNG
33#2409,77.94473684,33,2409,1.891786795,K550i,SonyEricsson
97#3248,77.95,97,3248,1.89181612,8MP-9HX,CAMERA
17#1140,77.96113208,17,1140,1.891878137,C740UZ,OLYMPUSOPTICALCO.LTD
10#2012,78.01166667,10,2012,1.892159556,6220c-1,Nokia
26#3225,78.03625,26,3225,1.892296391,<SamsungNV4SamsungVLUUNV,SamsungTechwin
10#2151,78.0825,10,2151,1.89255371,E70,Nokia
75#2600,78.155,75,2600,1.892956767,VIVICAM5340S,Vivitar
8#1176,78.16780488,8,1176,1.893027916,COOLPIXS9500,Nikon
7#3562,78.18,7,3562,1.893095666,DCR-DVD406E,Sony
10#659,78.1875,10,659,1.893137327,N76,Nokia
7#1639,78.22952381,7,1639,1.893370687,FDMAVICA,Sony
17#2638,78.25823529,17,2638,1.89353005,C920ZD450Z,OLYMPUSOPTICALCO.LTD
10#437,78.26833333,10,437,1.893586086,E71,Nokia
18#2788,78.282,18,2788,1.893661913,KODAKEASYSHAREDX3700Digita,EASTMANKODAKCOMPANY
17#2621,78.29,17,2621,1.893706293,C860LD360L,OLYMPUSOPTICALCO.LTD
236#2866,78.31666667,236,2866,1.893854195,Cameras,DSCimg
33#3787,78.5075,33,3787,1.894911148,SK17i,SonyEricsson
7#2831,78.578,7,2831,1.895300971,DCR-PC120E,Sony
168#1964,78.6075,168,1964,1.895463984,LG-LU6000,LG....
8#973,78.6424359,8,973,1.895656957,COOLPIXS6,Nikon
10#412,78.64375,10,412,1.895664214,6500s-1,Nokia
91#3101,78.73125,91,3101,1.896147147,SO905iCS,DoCoMo
7#2754,78.75666667,7,2754,1.896287327,DCR-PC105E,Sony
24#2791,78.758,24,2791,1.896294679,FinePix2300,FUJIFILM
7#2943,78.96,7,2943,1.89740714,DIGITALMAVICA,Sony
24#906,79.04405797,24,906,1.897869228,FinePix2400Zoom,FUJIFILM
26#2277,79.13666667,26,2277,1.898377753,NV20VLUUNV20,SamsungTechwin
10#404,79.20625,10,404,1.898759452,6233,Nokia
87#2403,79.24477273,87,2403,1.898970624,PhotoPC3100Z,SEIKOEPSONCORP.
20#163,79.25071429,20,163,1.899003185,BlackBerry9700,ResearchInMotion
14#146,79.31461539,14,146,1.899353223,CanonPowerShotA540,Canon
97#2485,79.34,97,2485,1.899492196,3MP-9E7,CAMERA
33#2597,79.38121212,33,2597,1.899717726,W550i,SonyEricsson
44#1828,79.4875,44,1828,1.900298838,3MDSC,
8#1052,79.50410256,8,1052,1.90038954,COOLPIXS8,Nikon
33#1425,79.54055556,33,1425,1.90058862,SONYERICSSONP1i,SonyEricsson
147#4175,79.59,147,4175,1.900858505,KB775F,LGElec.
16#3694,79.59,16,3694,1.900858505,T310,LGElectronics
126#3965,79.6,126,3965,1.900913068,AMOI_N820,AMOI
5#4096,79.615,5,4096,1.900994899,SCH-I110,SAMSUNG
33#2613,79.7,33,2613,1.901458321,SONYERICSSONp910i,SonyEricsson
24#3282,79.735,24,3282,1.901648999,MX-700,FUJIFILM
16#3633,79.7475,16,3633,1.901717077,T300,LGElectronics
16#3801,79.7475,16,3801,1.901717077,T500,LGElectronics
16#3914,79.7475,16,3914,1.901717077,T375,LGElectronics
267#3794,79.7475,267,3794,1.901717077,LG-S365,LGElectronicsInc.
33#2588,79.7475,33,2588,1.901717077,S700i,SonyEricsson
8#869,79.7662963,8,869,1.901819427,E2500,Nikon
33#3105,79.795,33,3105,1.901975679,W800c,SonyEricsson
267#3278,79.835,267,3278,1.90219333,KF-350,LGElectronicsInc.
15#1074,79.8375,15,1074,1.902206929,T-MobileG1,HTC
10#803,79.8375,10,803,1.902206929,6303classic,Nokia
10#923,79.8375,10,923,1.902206929,N85,Nokia
33#2972,79.855,33,2972,1.902302114,K750c,SonyEricsson
316#4124,79.895,316,4124,1.902519601,OmegaHD2,CherryMobile
162#1862,79.895,162,1862,1.902519601,FP1,Fairphone
104#1331,79.895,104,1331,1.902519601,VIBEX2,Lenovo
104#2303,79.895,104,2303,1.902519601,S920,Lenovo
57#2631,79.905,57,2631,1.902573956,CI-8330,acer
221#2704,79.905,221,2704,1.902573956,CR780,CreativeTechnologyLtd.
221#4100,79.905,221,4100,1.902573956,CR530,CreativeTechnologyLtd.
18#1021,79.905,18,1021,1.902573956,KODAKEASYSHAREC300DIGITAL,EASTMANKODAKCOMPANY
18#1533,79.905,18,1533,1.902573956,KODAKEASYSHAREV803ZOOMDIG,EASTMANKODAKCOMPANY
24#3851,79.905,24,3851,1.902573956,FinePixAX350,FUJIFILM
15#3722,79.905,15,3722,1.902573956,HTCTouchVivaT2223,HTC
16#1681,79.905,16,1681,1.902573956,E720,LGElectronics
267#3831,79.905,267,3831,1.902573956,GX-300,LGElectronicsInc.
267#3892,79.905,267,3892,1.902573956,GB-230,LGElectronicsInc.
267#3895,79.905,267,3895,1.902573956,GD-350,LGElectronicsInc.
267#3925,79.905,267,3925,1.902573956,LG-A235,LGElectronicsInc.
267#3942,79.905,267,3942,1.902573956,LG-A250,LGElectronicsInc.
267#3967,79.905,267,3967,1.902573956,LG-A200,LGElectronicsInc.
267#3970,79.905,267,3970,1.902573956,LG-A230,LGElectronicsInc.
267#4184,79.905,267,4184,1.902573956,GU-220,LGElectronicsInc.
8#1211,79.905,8,1211,1.902573956,F90x,Nikon
282#3428,79.905,282,3428,1.902573956,NintendoDS,Nintendo
10#3459,79.905,10,3459,1.902573956,.,Nokia
177#2089,79.905,177,2089,1.902573956,PDA/SP,OEM
9#2110,79.905,9,2110,1.902573956,AZ-2ZOOM,OLYMPUSIMAGINGCORP.
54#2349,79.905,54,2349,1.902573956,PENTAXOptioRS1000,PENTAX
33#2784,79.905,33,2784,1.902573956,S710a,SonyEricsson
79#771,79.905,79,771,1.902573956,DC7900,Supra
197#2357,79.905,197,2357,1.902573956,T-MobileShadow,T-MobileShadow
17#2688,79.95,17,2688,1.902818468,C900ZD400Z,OLYMPUSOPTICALCO.LTD
90#913,79.9625,90,913,1.902886364,P9521,PORSCHEDESIGN
75#3021,79.9625,75,3021,1.902886364,Vivicam5105s,Vivitar
30#940,79.96335938,30,940,1.902891031,X100D540ZC310Z,OLYMPUSCORPORATION
15#833,79.9675,15,833,1.902913519,HTCTouchHDT8282,HTC
33#2986,79.9725,33,2986,1.902940673,W800,SonyEricsson
33#1528,79.985,33,1528,1.903008549,MT15i,SonyEricsson
33#2598,80.03224138,33,2598,1.90326498,W600i,SonyEricsson
14#1952,80.085,14,1952,1.90355118,EOSREBELT1i,Canon
239#2907,80.12,239,2907,1.903740941,AirisPhotostar3702,AirisPhotostar3702
95#3260,80.12,95,3260,1.903740941,DCE30,BenQ
51#3193,80.12,51,3193,1.903740941,Best,DigitalCamera
75#2845,80.12,75,2845,1.903740941,Vivicam3815,Vivitar
16#2958,80.171,16,2958,1.904017301,KU990,LGElectronics
39#2075,80.21611111,39,2075,1.904261603,hpPhotoSmart43xseries,Hewlett-Packard
33#2334,80.21875,33,2334,1.90427589,K600i,SonyEricsson
10#759,80.2625,10,759,1.904512683,NokiaN81,Nokia
18#961,80.351,18,961,1.904991286,KODAKEASYSHARECX7300DIGITA,EASTMANKODAKCOMPANY
292#2737,80.355,292,2737,1.905012905,Dimage2300,MinoltaCo.Ltd.
9#4021,80.41,9,4021,1.905310062,FE48X44,OLYMPUSIMAGINGCORP.
10#758,80.415,10,758,1.905337066,E51,Nokia
10#1720,80.445,10,1720,1.905499056,9999,Nokia
24#2174,80.45742424,24,2174,1.905566125,FinePixS8100fd,FUJIFILM
17#804,80.4666129,17,804,1.905615721,C40ZD40Z,OLYMPUSOPTICALCO.LTD
30#1140,80.47302326,30,1140,1.905650317,C740UZ,OLYMPUSCORPORATION
136#3302,80.48,136,3302,1.905687968,GR-DV***,JVC
33#3650,80.5125,33,3650,1.905863312,E15i,SonyEricsson
14#271,80.53,14,271,1.905957699,CanonDIGITALIXUS120IS,Canon
91#2743,80.56,91,2743,1.906119458,N506iS2,DoCoMo
7#1853,80.57195652,7,1853,1.90618391,DSC-U30,Sony
86#1538,80.58666667,86,1538,1.906263192,SX833,SHARP
9#668,80.60083333,9,668,1.906339532,C70ZC7000Z,OLYMPUSIMAGINGCORP.
10#459,80.644,10,459,1.906572061,N958GB,Nokia
30#300,80.6483871,30,300,1.906595686,C765UZ,OLYMPUSCORPORATION
172#2030,80.67,172,2030,1.906712057,X10mini,SE
33#1375,80.67,33,1375,1.906712057,E16i,SonyEricsson
33#1379,80.67,33,1379,1.906712057,MT25i,SonyEricsson
33#1381,80.67,33,1381,1.906712057,R800i,SonyEricsson
33#2030,80.67,33,2030,1.906712057,X10mini,SonyEricsson
33#2032,80.67,33,2032,1.906712057,E10i,SonyEricsson
33#3715,80.67,33,3715,1.906712057,U20a,SonyEricsson
33#3976,80.67,33,3976,1.906712057,R800x,SonyEricsson
14#1088,80.69875,14,1088,1.906866808,CanonPowerShotA490,Canon
14#422,80.75375,14,422,1.907162699,CanonPowerShotA95,Canon
44#340,80.77314815,44,340,1.90726701,,
24#3184,80.779,24,3184,1.907298473,A850,FUJIFILM
14#3685,80.8425,14,3685,1.907639735,CanonDC330,Canon
26#2189,80.85429825,26,2189,1.907703112,<DigimaxV700/KenoxV10/D,SamsungTechwin
17#252,80.86516129,17,252,1.907761457,C990ZD490Z,OLYMPUSOPTICALCO.LTD
26#2980,80.9225,26,2980,1.908069291,DigimaxL55W/KenoxX15WIDE,SamsungTechwin
86#867,80.935,86,867,1.908136371,920SH,SHARP
267#3323,80.975,267,3323,1.908350957,ME550,LGElectronicsInc.
8#1135,80.975,8,1135,1.908350957,LS-8000,Nikon
86#3587,80.975,86,3587,1.908350957,IS03,SHARP
8#1109,80.9851,8,1109,1.908405123,COOLPIXS4,Nikon
33#3002,81.025,33,3002,1.90861904,K510a,SonyEricsson
41#2162,81.04407895,41,2162,1.908721291,DiMAGEZ10,KONICAMINOLTA
97#1040,81.08,97,1040,1.90891374,DC3301,CAMERA
91#3043,81.09333333,91,3043,1.908985152,P905i,DoCoMo
5#26,81.164375,5,26,1.909365449,GT-I9500,SAMSUNG
10#939,81.21,10,939,1.90960951,C7-00,Nokia
97#2755,81.225,97,2755,1.90968972,DC2071,CAMERA
136#3115,81.225,136,3115,1.90968972,GR-DX77,JVC
4#4313,81.225,4,4313,1.90968972,NV-DS65,Panasonic
5#2319,81.225,5,2319,1.90968972,SPH-A940,SAMSUNG
8#1547,81.23317308,8,1547,1.909733418,COOLPIXS500,Nikon
30#889,81.29433962,30,889,1.910060307,C770UZ,OLYMPUSCORPORATION
8#908,81.34081081,8,908,1.910308497,COOLPIXL120,Nikon
38#355,81.3571875,38,355,1.910395927,DiMAGEF100,MinoltaCo.Ltd.
62#3200,81.39216667,62,3200,1.91058261,C-LUX3,LEICA
6#12,81.40086207,6,12,1.910629004,NIKOND5100,Nikon Corporation
214#2933,81.424,214,2933,1.910752434,SidekickLX,T-Mobile(R)
8#222,81.45467742,8,222,1.910916028,COOLPIXP500,Nikon
14#35,81.45857143,14,35,1.910936789,CanonEOS500D,Canon
7#4207,81.515,7,4207,1.911237533,SO-04E,Sony
17#829,81.56236111,17,829,1.911489789,X200D560ZC350Z,OLYMPUSOPTICALCO.LTD
10#54,81.565,10,54,1.911503841,5230,Nokia
14#586,81.60625,14,586,1.911723421,CanonPowerShotSD780IS,Canon
10#2180,81.62,10,2180,1.91179659,6136,Nokia
139#3081,81.68625,139,3081,1.912148959,i733,Polaroid
17#2408,81.68711539,17,2408,1.91215356,X300D565ZC450Z,OLYMPUSOPTICALCO.LTD
8#292,81.73605263,8,292,1.91241366,COOLPIXS200,Nikon
39#2450,81.75,39,2450,1.912487761,HPPhotoSmartC850(V07.27),Hewlett-Packard
39#4083,81.75,39,4083,1.912487761,HPPhotoSmartC945(V01.66),Hewlett-Packard
6#439,81.7863961,6,439,1.912681072,NIKOND40X,Nikon Corporation
9#927,81.79366907,9,927,1.91271969,E-P3,OLYMPUSIMAGINGCORP.
24#1294,81.79375,24,1294,1.91272012,FinePixJ50,FUJIFILM
17#983,81.84743243,17,983,1.91300506,C2100UZ,OLYMPUSOPTICALCO.LTD
8#73,81.88397959,8,73,1.913198941,E5900,Nikon
10#1957,81.885,10,1957,1.913204353,6303iclassic,Nokia
24#2916,81.91772727,24,2916,1.913377895,FinePixA201,FUJIFILM
9#2285,81.92742857,9,2285,1.913429324,FE250/X800,OLYMPUSIMAGINGCORP.
87#4257,81.935,87,4257,1.913469458,PhotoPC800,SEIKOEPSONCORP.
9#3191,81.945,9,3191,1.91352246,u1200S1200,OLYMPUSIMAGINGCORP.
5#1773,81.945,5,1773,1.91352246,SGH-P210,SAMSUNG
220#2701,81.9525,220,2701,1.913562206,DC-M50,(C)2003GatewayInc.
8#1709,81.96153846,8,1709,1.913610102,E8400,Nikon
17#1946,81.97548387,17,1946,1.913683989,C2000Z,OLYMPUSOPTICALCO.LTD
8#795,82.0028,8,795,1.913828682,E885,Nikon
33#2714,82.00321429,33,2714,1.913830876,Z800,SonyEricsson
6#1107,82.0075,6,1107,1.913853573,NIKOND2Xs,Nikon Corporation
8#655,82.14353659,8,655,1.914573397,COOLPIXS210,Nikon
8#533,82.15151515,8,533,1.914615578,COOLPIXP50,Nikon
87#2891,82.18166667,87,2891,1.914774945,EPSONscanner,SEIKOEPSONCORP.
33#839,82.18882353,33,839,1.914812764,W810i,SonyEricsson
24#2674,82.20969388,24,2674,1.914923031,FinePix1300,FUJIFILM
33#1129,82.21916667,33,1129,1.914973071,K510i,SonyEricsson
24#1534,82.25,24,1534,1.915135907,FinePixS2000HD,FUJIFILM
164#2719,82.26,164,2719,1.915188705,VPC-S500,SANYOElectricCo.Ltd.....
91#2835,82.267,91,2835,1.91522566,SO902i,DoCoMo
18#2245,82.2675,18,2245,1.9152283,KODAKEASYSHARECX6230ZOOMD,EASTMANKODAKCOMPANY
156#3819,82.295,156,3819,1.91537345,PDR-M1,TOSHIBA
33#3244,82.3225,33,3244,1.915518551,K310a,SonyEricsson
14#969,82.37,14,969,1.915769066,CanonPowerShotSX150IS,Canon
10#312,82.37,10,312,1.915769066,Nokia800,Nokia
