n,avgIfdsFocalLength,make,model,logValues,modelName,makeName
10#2382,5,10,2382,0.698970004,E63,Nokia
10#2571,5,10,2571,0.698970004,5320,Nokia
30#722,5,30,722,0.698970004,C160D395,OLYMPUSCORPORATION
9#3667,5,9,3667,0.698970004,FE4030X950,OLYMPUSIMAGINGCORP.
9#3701,5,9,3701,0.698970004,uTough-8010,OLYMPUSIMAGINGCORP.
9#3727,5,9,3727,0.698970004,FE5040X980,OLYMPUSIMAGINGCORP.
9#3802,5,9,3802,0.698970004,VG140D715,OLYMPUSIMAGINGCORP.
9#3842,5,9,3842,0.698970004,TG-810,OLYMPUSIMAGINGCORP.
9#3876,5,9,3876,0.698970004,SZ-11,OLYMPUSIMAGINGCORP.
9#3949,5,9,3949,0.698970004,TG-620,OLYMPUSIMAGINGCORP.
9#4050,5,9,4050,0.698970004,TG-320,OLYMPUSIMAGINGCORP.
9#4196,5,9,4196,0.698970004,VG150D735,OLYMPUSIMAGINGCORP.
17#2653,5,17,2653,0.698970004,C150D390,OLYMPUSOPTICALCO.LTD
17#2663,5,17,2663,0.698970004,C-1,OLYMPUSOPTICALCO.LTD
4#2590,5,4,2590,0.698970004,SV-AS10,Panasonic
4#2750,5,4,2750,0.698970004,PV-SD4090,Panasonic
4#3840,5,4,3840,0.698970004,DMC-FH27,Panasonic
4#3849,5,4,3849,0.698970004,DMC-ZX3,Panasonic
4#3866,5,4,3866,0.698970004,DMC-S1,Panasonic
4#3915,5,4,3915,0.698970004,DMC-FH4,Panasonic
4#4126,5,4,4126,0.698970004,DMC-S2,Panasonic
4#4140,5,4,4140,0.698970004,DMC-FT5,Panasonic
4#4151,5,4,4151,0.698970004,DMC-SZ5,Panasonic
4#4215,5,4,4215,0.698970004,DMC-FS28,Panasonic
54#3797,5,54,3797,0.698970004,PENTAXOptioI-10,PENTAX
139#4223,5,139,4223,0.698970004,t1455,Polaroid
73#1717,5,73,1717,0.698970004,GRDigital,RICOH
73#3243,5,73,3243,0.698970004,CaplioRR530,RICOH
73#3273,5,73,3273,0.698970004,CaplioR40,RICOH
73#3488,5,73,3488,0.698970004,CaplioRR120,RICOH
73#3720,5,73,3720,0.698970004,CX4,RICOH
73#4260,5,73,4260,0.698970004,PX.,RICOH
133#1490,5,133,1490,0.698970004,S100,S100
5#541,5,5,541,0.698970004,SM-G900F,SAMSUNG
5#648,5,5,648,0.698970004,SGH-i900,SAMSUNG
5#673,5,5,673,0.698970004,SM-G900V,SAMSUNG
5#701,5,5,701,0.698970004,SM-N910C,SAMSUNG
5#1173,5,5,1173,0.698970004,SCH-i910,SAMSUNG
5#1456,5,5,1456,0.698970004,SM-G900H,SAMSUNG
5#1552,5,5,1552,0.698970004,SAMSUNG-SM-G900A,SAMSUNG
5#1731,5,5,1731,0.698970004,SM-G900T,SAMSUNG
5#1842,5,5,1842,0.698970004,GT-i8910,SAMSUNG
5#1976,5,5,1976,0.698970004,SM-G900K,SAMSUNG
5#1978,5,5,1978,0.698970004,SM-N915K,SAMSUNG
5#1999,5,5,1999,0.698970004,SM-N910G,SAMSUNG
5#2045,5,5,2045,0.698970004,SM-N910U,SAMSUNG
5#2127,5,5,2127,0.698970004,Digimax401,SAMSUNG
5#2273,5,5,2273,0.698970004,SM-G900FD,SAMSUNG
5#2390,5,5,2390,0.698970004,SM-N910F,SAMSUNG
5#3337,5,5,3337,0.698970004,SAMSUNGST550/VLUUST550/,SAMSUNG
5#3470,5,5,3470,0.698970004,GT-i7500,SAMSUNG
5#3518,5,5,3518,0.698970004,WB5000/HZ25W,SAMSUNG
5#3639,5,5,3639,0.698970004,SAMSUNGST550/SAMSUNGST560,SAMSUNG
5#3771,5,5,3771,0.698970004,SAMSUNGPL170PL171/VLUUPL1,SAMSUNG
5#3946,5,5,3946,0.698970004,VLUUST95SAMSUNGST95,SAMSUNG
5#3984,5,5,3984,0.698970004,ES90/ES91,SAMSUNG
5#4012,5,5,4012,0.698970004,SAMSUNGPL221,SAMSUNG
5#4032,5,5,4032,0.698970004,SAMSUNGPL80/VLUUPL80/SAMSUN,SAMSUNG
5#4041,5,5,4041,0.698970004,SAMSUNGST93,SAMSUNG
5#4047,5,5,4047,0.698970004,SAMSUNGES30/VLUUES30,SAMSUNG
5#4073,5,5,4073,0.698970004,ST150F/ST151F/ST152F,SAMSUNG
5#4109,5,5,4109,0.698970004,SAMSUNGES68,SAMSUNG
5#4183,5,5,4183,0.698970004,VLUUSH100SAMSUNGSH100,SAMSUNG
5#4286,5,5,4286,0.698970004,SAMSUNGMV800,SAMSUNG
142#1966,5,142,1966,0.698970004,AnycallSCH-M490,SamsungElectronics
26#4079,5,26,4079,0.698970004,Digimax240,SamsungTechwin
74#3185,5,74,3185,0.698970004,1-126-293-00,SANYOElectricCo.Ltd.
121#1374,5,121,1374,0.698970004,X10i,SEMC
121#3554,5,121,3554,0.698970004,X10a,SEMC
86#1536,5,86,1536,0.698970004,SH1810C,SHARP
86#2578,5,86,2578,0.698970004,935SH,SHARP
86#3804,5,86,3804,0.698970004,940SH,SHARP
7#47,5,7,47,0.698970004,DSC-P41,Sony
7#389,5,7,389,0.698970004,C6903,Sony
7#563,5,7,563,0.698970004,CYBERSHOTU,Sony
7#782,5,7,782,0.698970004,DSC-U60,Sony
7#957,5,7,957,0.698970004,DSC-P32,Sony
7#1145,5,7,1145,0.698970004,D5503,Sony
7#1230,5,7,1230,0.698970004,D6603,Sony
7#1388,5,7,1388,0.698970004,C6902,Sony
7#1391,5,7,1391,0.698970004,D5833,Sony
7#1802,5,7,1802,0.698970004,DSC-U40,Sony
7#1853,5,7,1853,0.698970004,DSC-U30,Sony
7#1995,5,7,1995,0.698970004,DSC-P43,Sony
7#2274,5,7,2274,0.698970004,D6502,Sony
7#2738,5,7,2738,0.698970004,CLIE,Sony
7#2853,5,7,2853,0.698970004,DSC-U50,Sony
7#3177,5,7,3177,0.698970004,DCR-HC90,Sony
7#3210,5,7,3210,0.698970004,DCR-SR200,Sony
7#3376,5,7,3376,0.698970004,DCR-DVD403E,Sony
7#3562,5,7,3562,0.698970004,DCR-DVD406E,Sony
7#3576,5,7,3576,0.698970004,DCR-DVD403,Sony
7#3624,5,7,3624,0.698970004,DSC-W350D,Sony
7#3636,5,7,3636,0.698970004,MHS-TS20,Sony
7#3704,5,7,3704,0.698970004,HDR-SR7,Sony
7#3813,5,7,3813,0.698970004,DCR-SR45,Sony
7#3989,5,7,3989,0.698970004,DSC-W650,Sony
7#4070,5,7,4070,0.698970004,HDR-XR260V,Sony
7#4147,5,7,4147,0.698970004,DCR-SX21E,Sony
7#4228,5,7,4228,0.698970004,HDR-CX130,Sony
7#4238,5,7,4238,0.698970004,HDR-PJ200,Sony
33#208,5,33,208,0.698970004,K850i,SonyEricsson
33#662,5,33,662,0.698970004,W902,SonyEricsson
33#2128,5,33,2128,0.698970004,U10i,SonyEricsson
33#2435,5,33,2435,0.698970004,W995,SonyEricsson
33#3433,5,33,3433,0.698970004,U5i,SonyEricsson
264#3252,5,264,3252,0.698970004,XPERIAX1,SonyEricsson
193#2321,5,193,2321,0.698970004,T-Mobile_Rhodium,T-Mobile
156#3250,5,156,3250,0.698970004,PDR-M25,TOSHIBA
106#381,5,106,381,0.698970004,DesireHD,unknown
75#2600,5,75,2600,0.698970004,VIVICAM5340S,Vivitar
123#1395,5,123,1395,0.698970004,vivoX5Max,vivo
23#115,5,23,115,0.698970004,VodafoneSmart4G,Vodafone
167#2456,5.5,167,2456,0.740362689,AE22X,BenQCorporation
14#3329,5.5,14,3329,0.740362689,CanonOPTURA200MC,Canon
136#3294,5.5,136,3294,0.740362689,GZ-HD30,JVC
10#720,5.5,10,720,0.740362689,N8-00,Nokia
10#3459,5.5,10,3459,0.740362689,.,Nokia
4#4055,5.5,4,4055,0.740362689,DMC-FS41,Panasonic
73#1496,5.5,73,1496,0.740362689,GRDIGITAL3,RICOH
73#4048,5.5,73,4048,0.740362689,CX6,RICOH
5#2905,5.5,5,2905,0.740362689,Digimax301,SAMSUNG
7#2709,5.5,7,2709,0.740362689,DCR-HC40E,Sony
7#3481,5.5,7,3481,0.740362689,DCR-DVD508,Sony
4#261,5.75,4,261,0.759667845,DMC-FZ70,Panasonic
14#1858,5.833333333,14,1858,0.765916794,CanonVIXIAHFR10,Canon
272#761,6,272,761,0.77815125,DigitalCAM,7.2MPDigitalCAM
212#2553,6,212,2553,0.77815125,AL730,Altek
95#2790,6,95,2790,0.77815125,DCC540,BenQ
95#2872,6,95,2872,0.77815125,BENQDC2300,BenQ
95#2881,6,95,2881,0.77815125,DCE600,BenQ
95#2896,6,95,2896,0.77815125,C640,BenQ
95#3005,6,95,3005,0.77815125,DCE520+,BenQ
95#3186,6,95,3186,0.77815125,C740i,BenQ
95#3195,6,95,3195,0.77815125,DCP500,BenQ
95#3314,6,95,3314,0.77815125,DCC850,BenQ
95#3638,6,95,3638,0.77815125,DCC750,BenQ
167#3447,6,167,3447,0.77815125,DCE1050,BenQCorporation
167#3810,6,167,3810,0.77815125,DCC1220,BenQCorporation
167#3865,6,167,3865,0.77815125,DCC143X,BenQCorporation
167#4222,6,167,4222,0.77815125,BenQDCX725,BenQCorporation
167#4227,6,167,4227,0.77815125,DCT850,BenQCorporation
97#3248,6,97,3248,0.77815125,8MP-9HX,CAMERA
97#3268,6,97,3268,0.77815125,5MP-9EY,CAMERA
97#3374,6,97,3374,0.77815125,8MP-9HC,CAMERA
97#3420,6,97,3420,0.77815125,7MP-9GA,CAMERA
97#3533,6,97,3533,0.77815125,7MP-9GB,CAMERA
14#627,6,14,627,0.77815125,CanonIXUS1000HS,Canon
14#1205,6,14,1205,0.77815125,CanonDIGITALIXUSi,Canon
14#1708,6,14,1708,0.77815125,CanonPowerShotSD10,Canon
14#1758,6,14,1758,0.77815125,CanonPowerShotSD20,Canon
14#1790,6,14,1790,0.77815125,CanonDIGITALIXUSi5,Canon
14#1824,6,14,1824,0.77815125,CanonIXYDIGITAL810IS,Canon
14#1921,6,14,1921,0.77815125,CanonIXYDIGITALL,Canon
14#1941,6,14,1941,0.77815125,CanonIXYDIGITALL2,Canon
14#2355,6,14,2355,0.77815125,CanonDIGITALIXUS200IS,Canon
14#3201,6,14,3201,0.77815125,CanoniVISHV20,Canon
14#3354,6,14,3354,0.77815125,CanonIXYDIGITAL40,Canon
14#3487,6,14,3487,0.77815125,CanonIXYDIGITAL110IS,Canon
14#3594,6,14,3594,0.77815125,CanonPowerShotA3100IS,Canon
14#3688,6,14,3688,0.77815125,CanonLEGRIAHV40,Canon
14#3758,6,14,3758,0.77815125,CanonIXYDIGITAL90,Canon
14#4054,6,14,4054,0.77815125,CanonDIGITALIXUS82IS,Canon
14#4159,6,14,4159,0.77815125,CanonZR950,Canon
31#3259,6,31,3259,0.77815125,QV-2100,CASIO
43#2735,6,43,2735,0.77815125,EX-S20,CASIOCOMPUTERCO.LTD
48#2530,6,48,2530,0.77815125,EX-M1,CASIOCOMPUTERCO.LTD.
48#2974,6,48,2974,0.77815125,EX-S1,CASIOCOMPUTERCO.LTD.
48#3456,6,48,3456,0.77815125,EX-Z25,CASIOCOMPUTERCO.LTD.
48#3569,6,48,3569,0.77815125,EX-S5,CASIOCOMPUTERCO.LTD.
48#3683,6,48,3683,0.77815125,EX-Z350,CASIOCOMPUTERCO.LTD.
48#3737,6,48,3737,0.77815125,EX-FH25,CASIOCOMPUTERCO.LTD.
48#4088,6,48,4088,0.77815125,QV-R200,CASIOCOMPUTERCO.LTD.
221#2704,6,221,2704,0.77815125,CR780,CreativeTechnologyLtd.
221#4100,6,221,4100,0.77815125,CR530,CreativeTechnologyLtd.
52#448,6,52,448,0.77815125,F16,DIGITAL
52#2803,6,52,2803,0.77815125,F13,DIGITAL
52#3004,6,52,3004,0.77815125,F17,DIGITAL
52#3196,6,52,3196,0.77815125,F18,DIGITAL
52#3406,6,52,3406,0.77815125,F12,DIGITAL
51#3143,6,51,3143,0.77815125,5MP-9BE,DigitalCamera
51#3226,6,51,3226,0.77815125,5MP-9BH,DigitalCamera
51#3327,6,51,3327,0.77815125,6MP-9FS,DigitalCamera
183#1698,6,183,1698,0.77815125,KODAKPLAYSPORTVideoCamera,EastmanKodak
18#656,6,18,656,0.77815125,KODAKEASYSHAREC180Digital,EASTMANKODAKCOMPANY
18#714,6,18,714,0.77815125,KODAKDX3500DIGITALCAMERA,EASTMANKODAKCOMPANY
18#961,6,18,961,0.77815125,KODAKEASYSHARECX7300DIGITA,EASTMANKODAKCOMPANY
18#1021,6,18,1021,0.77815125,KODAKEASYSHAREC300DIGITAL,EASTMANKODAKCOMPANY
18#1463,6,18,1463,0.77815125,KODAKEASYSHAREC315DIGITAL,EASTMANKODAKCOMPANY
18#1901,6,18,1901,0.77815125,KODAKDC5000ZOOMDIGITALCAM,EASTMANKODAKCOMPANY
18#2153,6,18,2153,0.77815125,KODAKZi8PocketVideoCamera,EASTMANKODAKCOMPANY
18#2185,6,18,2185,0.77815125,KODAKEASYSHARESportCamera,EASTMANKODAKCOMPANY
18#2402,6,18,2402,0.77815125,KODAKEASYSHAREM341Digital,EASTMANKODAKCOMPANY
18#2479,6,18,2479,0.77815125,KODAKEASYSHAREM873ZOOMDIG,EASTMANKODAKCOMPANY
18#3301,6,18,3301,0.77815125,KODAKEASYSHAREC610Digital,EASTMANKODAKCOMPANY
18#3619,6,18,3619,0.77815125,KODAKEASYSHAREC183Digital,EASTMANKODAKCOMPANY
18#4014,6,18,4014,0.77815125,KODAKEASYSHAREM590DIGITAL,EASTMANKODAKCOMPANY
24#572,6,24,572,0.77815125,FinePix2200,FUJIFILM
24#836,6,24,836,0.77815125,FinePixF402,FUJIFILM
24#1524,6,24,1524,0.77815125,FinePixAX560,FUJIFILM
24#1612,6,24,1612,0.77815125,FinePixZ35,FUJIFILM
24#2250,6,24,2250,0.77815125,FinePixJ10,FUJIFILM
24#2614,6,24,2614,0.77815125,FinePix30i,FUJIFILM
24#2645,6,24,2645,0.77815125,FinePixA101,FUJIFILM
24#2674,6,24,2674,0.77815125,FinePix1300,FUJIFILM
24#2710,6,24,2710,0.77815125,FinePixA202,FUJIFILM
24#2742,6,24,2742,0.77815125,FinePixA403,FUJIFILM
24#2791,6,24,2791,0.77815125,FinePix2300,FUJIFILM
24#2856,6,24,2856,0.77815125,FinePixA200,FUJIFILM
24#2873,6,24,2873,0.77815125,FinePixZ3,FUJIFILM
24#2909,6,24,2909,0.77815125,FinePixA120,FUJIFILM
24#2916,6,24,2916,0.77815125,FinePixA201,FUJIFILM
24#2973,6,24,2973,0.77815125,FinePixA370,FUJIFILM
24#2984,6,24,2984,0.77815125,FinePix2800Z,FUJIFILM
24#2997,6,24,2997,0.77815125,FinePixA605,FUJIFILM
24#3047,6,24,3047,0.77815125,MX-1200,FUJIFILM
24#3133,6,24,3133,0.77815125,DX-10,FUJIFILM
24#3187,6,24,3187,0.77815125,A860,FUJIFILM
24#3236,6,24,3236,0.77815125,FinePixJ12,FUJIFILM
24#3297,6,24,3297,0.77815125,A150,FUJIFILM
24#3438,6,24,3438,0.77815125,FinePixZ200fd,FUJIFILM
24#3457,6,24,3457,0.77815125,FinePixJ27J28J29,FUJIFILM
24#3484,6,24,3484,0.77815125,FinePixJ25,FUJIFILM
24#3516,6,24,3516,0.77815125,FinePixZ37,FUJIFILM
24#3573,6,24,3573,0.77815125,FinePixJ120,FUJIFILM
24#3635,6,24,3635,0.77815125,FinePixAV130,FUJIFILM
24#3752,6,24,3752,0.77815125,FinePixAX300,FUJIFILM
24#3947,6,24,3947,0.77815125,FinePixS3380,FUJIFILM
24#3962,6,24,3962,0.77815125,FinePixJ37,FUJIFILM
24#3977,6,24,3977,0.77815125,FinePixT200,FUJIFILM
24#4004,6,24,4004,0.77815125,FinePixJ22,FUJIFILM
24#4046,6,24,4046,0.77815125,FinePixAX550,FUJIFILM
24#4160,6,24,4160,0.77815125,FinePixHS50EXR,FUJIFILM
24#4249,6,24,4249,0.77815125,FinePixAX330,FUJIFILM
24#4252,6,24,4252,0.77815125,FinePixAV220,FUJIFILM
153#3445,6,153,3445,0.77815125,A950,GeneralImagingCo.
153#3698,6,153,3698,0.77815125,J1455,GeneralImagingCo.
299#3766,6,299,3766,0.77815125,G-Shot1400,Genius
39#551,6,39,551,0.77815125,HPPhotosmartM22(V01.00)+,Hewlett-Packard
39#2075,6,39,2075,0.77815125,hpPhotoSmart43xseries,Hewlett-Packard
39#2777,6,39,2777,0.77815125,PhotosmartM517,Hewlett-Packard
39#2898,6,39,2898,0.77815125,HPPhotosmartM22(V01.00),Hewlett-Packard
39#2929,6,39,2929,0.77815125,HPPhotosmartM22(V01.00)d.,Hewlett-Packard
39#3051,6,39,3051,0.77815125,HPPhotosmartE330,Hewlett-Packard
39#3098,6,39,3098,0.77815125,HPPhotoSmartR507(V01.00)d,Hewlett-Packard
39#3678,6,39,3678,0.77815125,HPDSCCA350,Hewlett-Packard
39#3689,6,39,3689,0.77815125,HPPhotosmartM23(V01.00),Hewlett-Packard
146#1662,6,146,1662,0.77815125,hpPhotoSmart320,Hewlett-PackardCompany
254#3163,6,254,3163,0.77815125,HDC-1061E,HITACHI
254#3692,6,254,3692,0.77815125,DZ-HV565E,HITACHI
279#4265,6,279,4265,0.77815125,NS-DSC7P09,Insignia
136#2850,6,136,2850,0.77815125,GR-D93,JVC
136#3066,6,136,3066,0.77815125,GZ-MC200,JVC
136#3228,6,136,3228,0.77815125,GR-D270,JVC
244#3664,6,244,3664,0.77815125,6MDigitalCamera,madebyPolaroid
174#2051,6,174,2051,0.77815125,FS-6600,MAGINON
280#1101,6,280,1101,0.77815125,DigitalCam,MEDIONAG
280#3465,6,280,3465,0.77815125,MD86222,MEDIONAG
317#4136,6,317,4136,0.77815125,SQ70,monogram
19#3325,6,19,3325,0.77815125,ZN5,Motorola
240#2930,6,240,2930,0.77815125,6LZ,Mustek
169#1982,6,169,1982,0.77815125,5000T,NEINGRENZE
8#2077,6,8,2077,0.77815125,COOLPIXS50c,Nikon
8#3336,6,8,3336,0.77815125,COOLPIXS202,Nikon
8#3850,6,8,3850,0.77815125,COOLPIXL105,Nikon
10#23,6,10,23,0.77815125,N73,Nokia
10#153,6,10,153,0.77815125,E90,Nokia
10#416,6,10,416,0.77815125,N95,Nokia
10#459,6,10,459,0.77815125,N958GB,Nokia
10#783,6,10,783,0.77815125,N82,Nokia
10#1722,6,10,1722,0.77815125,N90-1,Nokia
10#2012,6,10,2012,0.77815125,6220c-1,Nokia
10#3743,6,10,3743,0.77815125,N8-00poweredbyShutterPro,Nokia
9#1925,6,9,1925,0.77815125,C170D425,OLYMPUSIMAGINGCORP.
9#2043,6,9,2043,0.77815125,TG-820,OLYMPUSIMAGINGCORP.
9#2181,6,9,2181,0.77815125,C180D435,OLYMPUSIMAGINGCORP.
9#2672,6,9,2672,0.77815125,X600D630FE5500,OLYMPUSIMAGINGCORP.
9#3069,6,9,3069,0.77815125,FE170X760C505,OLYMPUSIMAGINGCORP.
9#3342,6,9,3342,0.77815125,D555ZC315Z,OLYMPUSIMAGINGCORP.
9#3389,6,9,3389,0.77815125,FE3000X890,OLYMPUSIMAGINGCORP.
9#3723,6,9,3723,0.77815125,TG-610,OLYMPUSIMAGINGCORP.
9#3790,6,9,3790,0.77815125,u9010S9010,OLYMPUSIMAGINGCORP.
9#4039,6,9,4039,0.77815125,XZ-2,OLYMPUSIMAGINGCORP.
17#2615,6,17,2615,0.77815125,C830LD340R,OLYMPUSOPTICALCO.LTD
17#2621,6,17,2621,0.77815125,C860LD360L,OLYMPUSOPTICALCO.LTD
17#2649,6,17,2649,0.77815125,C100D370,OLYMPUSOPTICALCO.LTD
17#2688,6,17,2688,0.77815125,C900ZD400Z,OLYMPUSOPTICALCO.LTD
4#1883,6,4,1883,0.77815125,DMC-FT25,Panasonic
4#2725,6,4,2725,0.77815125,DMC-FX5,Panasonic
4#3189,6,4,3189,0.77815125,DMC-LZ4,Panasonic
4#3458,6,4,3458,0.77815125,DMC-FS8,Panasonic
4#3651,6,4,3651,0.77815125,DMC-FP2,Panasonic
4#3733,6,4,3733,0.77815125,DMC-TZ50,Panasonic
4#3930,6,4,3930,0.77815125,DMC-TS10,Panasonic
4#4057,6,4,4057,0.77815125,DMC-FS40,Panasonic
4#4106,6,4,4106,0.77815125,DMC-FP7,Panasonic
4#4290,6,4,4290,0.77815125,DMC-FS18,Panasonic
163#3675,6,163,3675,0.77815125,luxmedia42472,PENTACON
54#2349,6,54,2349,0.77815125,PENTAXOptioRS1000,PENTAX
54#3983,6,54,3983,0.77815125,PENTAXOptioE70,PENTAX
54#4203,6,54,4203,0.77815125,PENTAXOptioE80,PENTAX
11#3463,6,11,3463,0.77815125,PENTAXOptioV10,PENTAXCorporation
36#4038,6,36,4038,0.77815125,PENTAXMX-1,PENTAXRICOHIMAGING
139#2757,6,139,2757,0.77815125,PolaroidPDC3050,Polaroid
139#3081,6,139,3081,0.77815125,i733,Polaroid
139#3231,6,139,3231,0.77815125,7MCCDCAMERA,Polaroid
139#3281,6,139,3281,0.77815125,i834,Polaroid
139#3351,6,139,3351,0.77815125,Speedstari835,Polaroid
139#3538,6,139,3538,0.77815125,i1237,Polaroid
139#4272,6,139,4272,0.77815125,i1037,Polaroid
261#3231,6,261,3231,0.77815125,7MCCDCAMERA,PolaroidA700
73#1737,6,73,1737,0.77815125,GRDIGITAL4,RICOH
73#3100,6,73,3100,0.77815125,CaplioRR770,RICOH
73#3272,6,73,3272,0.77815125,G600,RICOH
73#3973,6,73,3973,0.77815125,CaplioRZ1,RICOH
69#3001,6,69,3001,0.77815125,dr4,Rollei
5#1981,6,5,1981,0.77815125,SGH-T929,SAMSUNG
5#2434,6,5,2434,0.77815125,VLUUL110M110/SamsungL1,SAMSUNG
5#2496,6,5,2496,0.77815125,SAMSUNGI8510,SAMSUNG
5#2836,6,5,2836,0.77815125,Digimax201,SAMSUNG
5#3388,6,5,3388,0.77815125,SAMSUNGES10/VLUUES10,SAMSUNG
5#3426,6,5,3426,0.77815125,SAMSUNGES10/VLUUES10/S,SAMSUNG
5#3462,6,5,3462,0.77815125,SAMSUNGPL55/VLUUPL55/SAMS,SAMSUNG
5#3473,6,5,3473,0.77815125,SAMSUNGST45/VLUUST45/SAMS,SAMSUNG
5#3528,6,5,3528,0.77815125,SAMSUNGWP10/VLUUWP10/SA,SAMSUNG
5#3550,6,5,3550,0.77815125,SAMSUNGES55/VLUUES55/SA,SAMSUNG
5#3565,6,5,3565,0.77815125,SAMSUNGES17/VLUUES17/SA,SAMSUNG
5#3597,6,5,3597,0.77815125,VLUUST100ST100,SAMSUNG
5#3910,6,5,3910,0.77815125,ST66/ST68,SAMSUNG
5#4295,6,5,4295,0.77815125,SAMSUNGES20/VLUUES20/SAMS,SAMSUNG
26#3032,6,26,3032,0.77815125,<VLUUL830/SamsungL830>,SamsungTechwin
26#3390,6,26,3390,0.77815125,VLUUP1200/SamsungP1200,SamsungTechwin
26#3933,6,26,3933,0.77815125,}}}(..(..(.....t...d....A..(.,SamsungTechwin
26#3993,6,26,3993,0.77815125,VLUUL310W/SamsungL310W,SamsungTechwin
26#4180,6,26,4180,0.77815125,VLUUL100/SamsungL100,SamsungTechwin
25#596,6,25,596,0.77815125,DigimaxA502,SAMSUNGTECHWINCO.LTD.
25#1201,6,25,1201,0.77815125,DigimaxA402,SAMSUNGTECHWINCO.LTD.
25#2961,6,25,2961,0.77815125,SamsungL73,SAMSUNGTECHWINCO.LTD.
25#3167,6,25,3167,0.77815125,SamsungS1060,SAMSUNGTECHWINCO.LTD.
25#3197,6,25,3197,0.77815125,SamsungS1065,SAMSUNGTECHWINCO.LTD.
25#3221,6,25,3221,0.77815125,SamsungBL103,SAMSUNGTECHWINCO.LTD.
25#3270,6,25,3270,0.77815125,SamsungS1070/KENOXS1070,SAMSUNGTECHWINCO.LTD.
25#3369,6,25,3369,0.77815125,SamsungL201/VLUUL201,SAMSUNGTECHWINCO.LTD.
25#3446,6,25,3446,0.77815125,SamsungSL201,SAMSUNGTECHWINCO.LTD.
226#3267,6,226,3267,0.77815125,J1,SANYOElectricCo.Ltd
74#2675,6,74,2675,0.77815125,C6,SANYOElectricCo.Ltd.
74#2792,6,74,2792,0.77815125,C4,SANYOElectricCo.Ltd.
74#2843,6,74,2843,0.77815125,SR6,SANYOElectricCo.Ltd.
74#3249,6,74,3249,0.77815125,CA6,SANYOElectricCo.Ltd.
74#3258,6,74,3258,0.77815125,S7,SANYOElectricCo.Ltd.
74#3377,6,74,3377,0.77815125,FH1,SANYOElectricCo.Ltd.
74#3410,6,74,3410,0.77815125,SX114,SANYOElectricCo.Ltd.
74#3616,6,74,3616,0.77815125,E2,SANYOElectricCo.Ltd.
74#4323,6,74,4323,0.77815125,FH1A,SANYOElectricCo.Ltd.
253#3138,6,253,3138,0.77815125,VPC-T700,SANYOElectricCo.Ltd.
253#3291,6,253,3291,0.77815125,T1060,SANYOElectricCo.Ltd.
222#2720,6,222,2720,0.77815125,DX-3100AQUAPIX,SEA&SEA
7#2833,6,7,2833,0.77815125,DCR-VX2000,Sony
7#3107,6,7,3107,0.77815125,DCR-PC350,Sony
7#3159,6,7,3159,0.77815125,HDR-SR12,Sony
7#3217,6,7,3217,0.77815125,DSC-G3,Sony
7#3224,6,7,3224,0.77815125,DCR-DVD405,Sony
7#3373,6,7,3373,0.77815125,HDR-HC1E,Sony
7#3530,6,7,3530,0.77815125,MHS-CM1,Sony
7#3539,6,7,3539,0.77815125,MHS-PM1,Sony
7#3541,6,7,3541,0.77815125,MAVICAxVn9hf,Sony
7#3670,6,7,3670,0.77815125,HDR-CX100,Sony
7#3702,6,7,3702,0.77815125,HDR-CX520V,Sony
7#3712,6,7,3712,0.77815125,HDR-XR550E,Sony
7#3765,6,7,3765,0.77815125,DSC-G1,Sony
7#3854,6,7,3854,0.77815125,DSC-S3000,Sony
7#4093,6,7,4093,0.77815125,HDR-CX730E,Sony
7#4094,6,7,4094,0.77815125,DSC-J10,Sony
33#204,6,33,204,0.77815125,C905,SonyEricsson
33#1384,6,33,1384,0.77815125,U1i,SonyEricsson
79#3571,6,79,3571,0.77815125,SuperSlimXS70,Supra
79#3820,6,79,3820,0.77815125,DC5900,Supra
135#1500,6,135,1500,0.77815125,USBCamera,Syntek
156#3162,6,156,3162,0.77815125,PDR-3320,TOSHIBA
156#3514,6,156,3514,0.77815125,PDR-T10,TOSHIBA
231#2783,6,231,2783,0.77815125,VQ2103,ViewQuest
75#3208,6,75,3208,0.77815125,ViviCam6324,Vivitar
77#761,6,77,761,0.77815125,DigitalCAM,VQ
229#2757,6,229,2757,0.77815125,PolaroidPDC3050,WWL
229#3132,6,229,3132,0.77815125,PolaroidPDC3350,WWL
44#1270,6,44,1270,0.77815125,DSC,
44#1828,6,44,1828,0.77815125,3MDSC,
39#2617,6.333333333,39,2617,0.801632346,hp635DigitalCamera,Hewlett-Packard
4#2084,6.333333333,4,2084,0.801632346,DMC-ZR3,Panasonic
54#3956,6.333333333,54,3956,0.801632346,PENTAXOptioWG-2,PENTAX
14#3407,6.5,14,3407,0.812913357,CanonIXYDIGITAL210IS,Canon
188#168,6.5,188,168,0.812913357,CanonDIGITALIXUS70,Canon.
31#3060,6.5,31,3060,0.812913357,QV-8000SX,CASIO
51#3084,6.5,51,3084,0.812913357,7MP-9GW,DigitalCamera
18#277,6.5,18,277,0.812913357,KODAKDX3600DIGITALCAMERA,EASTMANKODAKCOMPANY
24#3460,6.5,24,3460,0.812913357,FujifilmA220A230,FUJIFILM
24#3845,6.5,24,3845,0.812913357,FinePixAV10,FUJIFILM
110#2812,6.5,110,2812,0.812913357,DC-M42,Gateway
9#935,6.5,9,935,0.812913357,FE4010X930,OLYMPUSIMAGINGCORP.
